#lineT ridgeT lassoT linFeH ridgeFeH lassoFeH cvridgeT cvridgeFeH
16.33 17.99 25.56 0.01678 0.02308 0.03082 15.99 0.016
24.34 22.20 32.27 0.01512 0.02346 0.04555 30.69 0.022
29.88 22.55 46.60 0.02193 0.01680 0.04356 19.62 0.026
25.45 19.11 39.22 0.02191 0.02038 0.03200 23.37 0.025
27.41 32.26 32.62 0.13776 0.01686 0.03262 22.22 0.017
27.27 26.47 26.95 0.02489 0.01967 0.03258 28.04 0.021
18.07 22.18 30.11 0.01887 0.01897 0.05283 37.58 0.021
18.31 28.60 38.65 0.02029 0.01722 0.03366 22.15 0.015
17.04 19.63 25.10 0.02281 0.03023 0.03588 27.11 0.026
24.63 25.41 44.59 0.01709 0.01817 0.04040 30.22 0.020
25.87 38.12 20.85 0.02052 0.02479 0.04436 29.30 0.017
22.59 22.56 39.22 0.02070 0.01679 0.03314 18.83 0.018
28.39 20.98 34.01 0.02503 0.02623 0.04657 21.80 0.019
16.53 19.92 31.65 0.02743 0.02025 0.03292 35.11 0.021
25.00 25.84 54.89 0.02183 0.01552 0.04754 25.11 0.023
29.55 33.78 34.26 0.01783 0.02208 0.04830 23 0.014
24.69 21.55 52.44 0.02360 0.01776 0.03787 24 0.028
23.62 23.83 47.65 0.01834 0.01574 0.03984 20 0.015
20.51 22.38 29.81 0.02459 0.02380 0.04414 26 0.023
28.79 26.95 42.59 0.02171 0.01905 0.05276 33 0.023
26.91 21.43 45.53 0.01358 0.02538 0.04047 24 0.021
19.92 21.77 29.60 0.02223 0.01916 0.04784 28 0.028
24.49 22.47 23.95 0.02856 0.01725 0.03201 21 0.018
28.93 24.51 26.05 0.02470 0.01598 0.02843 25 0.022
24.39 23.40 54.17 0.01443 0.02202 0.03671 28 0.024
21.09 22.79 34.16 0.01687 0.02080 0.03164 18 0.020
20.65 21.09 44.77 0.01432 0.01582 0.02945 21 0.023
25.46 14.97 40.79 0.01439 0.02241 0.03414 26 0.020
28.05 35.69 27.40 0.02390 0.02674 0.04068 22 0.022
27.22 22.89 35.43 0.01602 0.02461 0.04362 20 0.017
35.74 14.25 44.44 0.01999 0.02139 0.03802 33 0.017
31.29 24.11 31.65 0.01769 0.01663 0.03951 27 0.024
29.85 23.10 37.54 0.01991 0.02339 0.04336 24 0.022
22.23 25.51 32.51 0.02350 0.02418 0.03452 31 0.019
22.92 18.67 51.43 0.01478 0.01894 0.04147 23 0.021
25.22 25.23 34.09 0.02614 0.02043 0.03686 27 0.021
24.88 22.56 37.11 0.02189 0.01715 0.03146 21 0.018
29.59 25.64 33.46 0.01495 0.02614 0.03556 28 0.026
15.63 21.18 32.96 0.01640 0.02163 0.03131 26 0.017
34.49 35.07 33.16 0.02151 0.01637 0.03907 18 0.018
27.84 19.71 41.76 0.02619 0.02037 0.03374 27 0.022
22.67 30.34 35.88 0.02737 0.01937 0.03007 16 0.018
19.93 26.95 23.53 0.02440 0.02296 0.03273 27 0.027
21.34 35.69 39.09 0.02093 0.02133 0.03804 26 0.015
30.50 29.02 34.65 0.01691 0.02559 0.03979 27 0.017
24.48 22.45 28.98 0.02845 0.02319 0.02098 26 0.021
19.31 18.49 26.91 0.02155 0.01799 0.03296 23 0.026
25.53 25.31 25.20 0.02271 0.01874 0.04061 24 0.021
26.06 15.53 41.29 0.02334 0.01917 0.03477 13 0.013
12.90 18.71 36.34 0.01455 0.01778 0.03071 19 0.018


