Star FeH Teff
CD-44-836A_S1D -0.0736145733569 3156.41938656
G108-21_S1D -0.0138362031084 3254.4072673
G108-22_S1D 0.0158623693744 3124.81926605
G141-29_S1D 0.0668415026871 2931.91199148
GJ1002_S1D -0.0967884524606 3346.46114694
GJ1057_S1D 0.0164666088801 3103.38865522
GJ1061_S1D -0.0177633286675 2937.78379943
GJ1065_S1D -0.204131602759 3205.20873457
GJ1068_S1D -0.336252481153 3422.56626476
GJ1123_S1D 0.195870460117 2895.5932211
GJ1125_S1D -0.0459195470294 2930.14494504
GJ1129_S1D 0.0675990896197 3109.12584226
GJ1214_S1D 0.0852463157835 2777.03877148
GJ1224_S1D -0.0451160216316 2972.09376844
GJ1232_S1D 0.161373113778 3046.3031287
GJ1236_S1D -0.470343168882 3339.10051852
GJ1256_S1D 0.118686393136 2981.26703103
GJ1265_S1D -0.133876452276 3105.70425562
GJ163_sum_S1D 0.0557935193678 3273.86894076
GJ179_S1D 0.118372006118 3086.29853716
GJ2066_S1D -0.176319134565 3437.61851038
GJ317_S1D 0.214367712931 3103.55998895
GJ3634_S1D -0.0762644205483 3428.82379033
GJ676A_S1D 0.301945976746 4016.13411259
Gl105B_S1D -0.0055093018875 2921.25627202
Gl12_S1D -0.207825243801 3369.95289193
Gl145_S1D -0.238096082905 3299.1204528
Gl166C_S1D 0.0608230535834 2633.90066965
Gl176_S1D -0.0173616680723 3370.73239443
Gl191_S1D -0.833296034626 3425.46834597
Gl1_S1D -0.478931578871 3570.16654205
Gl203_S1D -0.204090756657 3263.51524869
Gl205_S1D 0.200278493327 3671.50974745
Gl213_S1D -0.109738698586 3059.14974953
Gl229_S1D -0.0202503240424 3637.99594452
Gl250B_S1D -0.0871328630315 3506.61640755
Gl273_S1D -0.00582433459406 3070.64796399
Gl285_S1D 0.148414823184 1715.78996921
Gl299_S1D -0.474150864783 3467.13527671
Gl300_S1D 0.144078740848 2821.20115822
Gl341_S1D -0.13164359042 3563.02745934
Gl357_S1D -0.305426783798 3372.21886476
Gl358_S1D -0.02208140748 3185.34125249
Gl367_S1D -0.0831143570725 3403.84358185
Gl382_S1D 0.00992139805843 3420.94048199
Gl388_S1D 0.0293267937446 2772.28047161
Gl393_S1D -0.210817099869 3440.26042841
Gl402_S1D 0.058645233774 2984.14381587
Gl406_S1D 0.193986829258 2402.4261579
Gl413.1_S1D -0.112016938106 3420.07683456
Gl433_S1D -0.168041744897 3499.36816834
Gl436_S1D -0.0419008345064 3358.88340017
Gl438_S1D -0.356203341999 3507.96876965
Gl447_S1D -0.150888183705 3023.69748404
Gl465_S1D -0.632730232354 3477.18787124
Gl479_S1D 9.3621802261e-05 3232.88797741
Gl480.1_S1D -0.448459740869 3285.64581731
Gl486_S1D 0.0351392258181 2981.35744967
Gl514_S1D -0.159190463076 3539.49409402
Gl526_S1D -0.246443359307 3535.80064514
Gl536_S1D -0.136835795259 3533.81432137
Gl54.1_S1D -0.34717937638 3106.4584524
Gl551_S1D -0.00512827088752 2663.57189215
Gl555_S1D 0.153100643485 2838.11402454
Gl569A_S1D -0.0695968301627 3291.43181269
Gl581_S1D -0.202433952619 3244.87692335
Gl588_S1D 0.0488188079005 3286.51354165
Gl618A_S1D -0.0611673214656 3217.16863266
Gl628_S1D -0.0128551754152 3047.01939887
Gl643_S1D -0.23970461347 3150.07059165
Gl667C_S1D -0.503217515878 3457.8550832
Gl674_S1D -0.241852278627 3344.82675405
Gl678.1A_S1D -0.121332442954 3572.11446189
Gl680_S1D -0.184596013292 3410.92797847
Gl682_S1D 0.108017713043 2895.99189517
Gl686_S1D -0.33676817575 3496.17532548
Gl693_S1D -0.287236870006 3247.28154938
Gl699_S1D -0.518613027214 3340.57976819
Gl701_S1D -0.265365825452 3520.51193147
Gl729_S1D -0.137369987832 2519.86263994
Gl752A_S1D 0.0413526070818 3347.71235232
Gl754_S1D -0.139951953365 3013.42490363
Gl832_S1D -0.171071603532 3459.05909023
Gl846_S1D 0.0328128301649 3561.64674688
Gl849_S1D 0.204475632095 3134.87592735
Gl876_S1D 0.144287268718 2934.23456199
Gl877_S1D -0.0242348956247 3272.78037735
Gl87_S1D -0.356306036348 3573.59912465
Gl880_S1D 0.0426069228467 3615.53186727
Gl887_S1D -0.238077357662 3512.64190759
Gl908_S1D -0.473990455714 3530.47838449
HIP12961_S1D 0.258530183598 3761.93437183
HIP31292_S1D -0.0759066547533 3215.03386466
HIP31293_S1D -0.049040574295 3313.40010204
L707-74_S1D -0.265311261531 3488.86686643
LHS1134_S1D -0.029653178844 3102.95779716
LHS1481_S1D -0.704505871863 3597.53802286
LHS1513_S1D -0.112490238766 3350.96123478
LHS1723_S1D -0.21664325983 3267.29929602
LHS1731_S1D -0.176371130637 3316.87991626
LHS1935_S1D -0.190698940332 3232.59445196
LHS288_S1D -0.520553610278 3607.69051235
LHS337_S1D -0.217632918713 3080.26505874
LHS3583_S1D -0.168637942286 3375.56207813
LHS3746_S1D -0.109176656923 3046.61459079
LHS3799_S1D 0.151261642277 2710.59971524
LHS543_S1D 0.259259202157 2879.70915057
LP771-95A_S1D -0.328189754539 3265.48112977
LP816-60_S1D -0.044698859675 2967.36612989
LTT9759_S1D 0.178813852984 3316.69870448
